指標名,ホール・劇場,,,,,,,,,,,,,,,,,,
出典,東京都生活文化局,,,,,,,,,,,,,,,,,,
年次,2024年3月末,,,,,,,,,,,,,,,,,,
URL,https://www.seikatubunka.metro.tokyo.lg.jp/bunka/bunka_seisaku/0000001271.html,,,,,,,,,,,,,,,,,,
備考,野外会場も含む。（2019年度：439件、2020年度：521件、2024年度：469件）,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
区,町丁,エリア,住所,緯度,経度,施設名,電話番号,URL,客席数,収容人数,舞台形式,全体形式,客席形式,これまでの利用実績ジャンル,施設に適しているもしくは利用して欲しいジャンル,利用対象,利用条件を設定している場合の条件,利用可能時間帯,施設種別
品川区,中延１丁目,-,東京都品川区中延1-9-15,35.61221,139.71085,品川区立荏原文化センター〔レクリエーションホール〕,03-3785-1241,http://www.city.shinagawa.tokyo.jp/hp/menu000000400/hpg000000314.htm,135,135,なし,アリーナ・平土間形式,可動席（スタッキングチェア）,"演劇, ダンス・パフォーマンス, 合唱, 映像上映会（試写会など）, 講演会","演劇, ダンス・パフォーマンス, 合唱, 映像上映会（試写会など）, 講演会",一般に貸出している,,9:00～21:30,ホール・劇場
品川区,東大井５丁目,-,東京都品川区東大井5-18-1,35.60618,139.73587,品川区立総合区民会館　きゅりあん〔大ホール〕,03-5479-4112,http://www.shinagawa-culture.or.jp/hp/menu000000300/hpg000000242.htm,1088,1142,プロセニアム形式,扇型形式,固定席,"ポップス, クラシック, 演歌・歌謡曲, 演劇, ミュージカル, 歌舞伎, 能・狂言, 日本の伝統音楽（邦楽等）, 世界の民族音楽, お笑い・寄席・演芸, バレエ, ダンス・パフォーマンス, 合唱, 映像上映会（試写会など）, 講演会","ポップス, クラシック, 演歌・歌謡曲, ジャズ, 演劇, ミュージカル, 歌舞伎, 能・狂言, 日本の伝統音楽（邦楽等）, 世界の民族音楽, お笑い・寄席・演芸, バレエ, ダンス・パフォーマンス, 合唱, 映像上映会（試写会など）, 講演会",一般に貸出している,,9:00～21:30,ホール・劇場
品川区,東大井５丁目,-,東京都品川区東大井5-18-1,35.60618,139.73587,品川区立総合区民会館　きゅりあん〔小ホール〕,03-5479-4112,http://www.shinagawa-culture.or.jp/hp/menu000000300/hpg000000242.htm,286,351,プロセニアム形式,扇型形式,"固定席, ロールバックチェア","ポップス, クラシック, 演歌・歌謡曲, 演劇, 能・狂言, 日本の伝統音楽（邦楽等）, 世界の民族音楽, お笑い・寄席・演芸, バレエ, ダンス・パフォーマンス, 合唱, 映像上映会（試写会など）, 講演会","ポップス, クラシック, 演歌・歌謡曲, 演劇, 能・狂言, 日本の伝統音楽（邦楽等）, 世界の民族音楽, お笑い・寄席・演芸, バレエ, ダンス・パフォーマンス, 合唱, 映像上映会（試写会など）, 講演会",一般に貸出している,,9:00～21:30,ホール・劇場
品川区,東品川２丁目,-,東京都品川区東品川2-3-16,35.62344,139.75101,天王洲　銀河劇場,03-5769-0030,https://www.gingeki.jp/,746,746,プロセニアム形式,,"固定席, 可動席（スタッキングチェア）","ポップス, 演劇, ミュージカル, お笑い・寄席・演芸, ダンス・パフォーマンス","演劇, ミュージカル",一般に貸出している,,,ホール・劇場
品川区,八潮５丁目,-,東京都品川区八潮5-10-27,35.59938,139.75262,八潮区民集会所〔レクホール〕,03-3799-2000,http://www.city.shinagawa.tokyo.jp/hp/menu000007300/hpg000007246.htm,110,110,なし,アリーナ・平土間形式,可動席（スタッキングチェア）,"お笑い・寄席・演芸, バレエ, ダンス・パフォーマンス, 合唱, 映像上映会（試写会など）, 講演会","お笑い・寄席・演芸, バレエ, 講演会",利用条件の設定,区民集会所利用登録をしている団体,9:00～21:30,ホール・劇場
品川区,北品川２丁目,-,東京都品川区北品川2-32-3,35.61689,139.74237,一般財団法人六行会〔六行会ホール〕,03-3471-3200,https://www.rikkoukai.com,248,248,プロセニアム形式,シューボックス形式,固定席,"ポップス, クラシック, 演歌・歌謡曲, ジャズ, 演劇, ミュージカル, 歌舞伎, 能・狂言, 日本の伝統音楽（邦楽等）, 世界の民族音楽, お笑い・寄席・演芸, バレエ, オペラ, ダンス・パフォーマンス, 合唱, 講演会","ポップス, クラシック, 演歌・歌謡曲, ジャズ, 演劇, ミュージカル, 歌舞伎, 能・狂言, 日本の伝統音楽（邦楽等）, 世界の民族音楽, お笑い・寄席・演芸, バレエ, オペラ, ダンス・パフォーマンス, 合唱, 映像上映会（試写会など）, 講演会",一般に貸出している,,10:00～22:00,ホール・劇場
品川区,北品川３丁目,-,東京都品川区北品川3-11-22,35.61644,139.73927,品川健康センター〔ホール〕,03-5782-8507,http://www.shinagawa.esforta.jp/02_shinagawa.html,150,,なし,平タイプ,可動席（スタッキングチェア）,"ダンス・パフォーマンス, 合唱, 講演会",,利用条件の設定,-,9:00～21:30,ホール・劇場
品川区,東八潮,-,東京都品川区東八潮1-2,35.62147,139.7692,潮風公園　太陽の広場,03-5500-2455,http://www.tptc.co.jp/park/01_03/point,,,,,,,,,,,野外会場
中央区,銀座１丁目,-,東京都中央区銀座1-25-3,35.67315,139.77165,京橋プラザ区民館〔多目的ホール〕,03-3561-5163,http://chuo7kuminkan.com/about/kyobashi-p.html,,,,,,,,,,,ホール・劇場
中央区,銀座２丁目,-,東京都中央区銀座2-15-6,35.67144,139.77084,中央区中央会館（銀座ブロッサム）〔ホール〕,03-3542-8585,http://ginza-blossom.jp/hall/,,,,,,,,,,,ホール・劇場
中央区,銀座２丁目,-,東京都中央区銀座2-2-18,35.67461,139.76561,Ginza SOLA,03-6264-4971,http://ginza-sola.com/,61,61,オープン形式,アリーナ・平土間形式,"可動席（スタッキングチェア）, レザーチェア","ポップス, クラシック, 演歌・歌謡曲, ジャズ, 演劇, ミュージカル, 日本の伝統音楽（邦楽等）, お笑い・寄席・演芸, オペラ, ダンス・パフォーマンス, 合唱, 講演会, 展示会","ポップス, クラシック, 演歌・歌謡曲, ジャズ, 演劇, ミュージカル, 日本の伝統音楽（邦楽等）, お笑い・寄席・演芸, オペラ, ダンス・パフォーマンス, 合唱, 映像上映会（試写会など）, 講演会, 展示会",一般に貸出している,,10:00～22:00,ホール・劇場
中央区,銀座４丁目,-,東京都中央区銀座4-12-15,35.66965,139.76787,歌舞伎座,03-3541-8160,http://www.kabuki-za.co.jp/,1808,1808,プロセニアム形式,シューボックス形式,固定席,歌舞伎,歌舞伎,一般への貸出はしていない,,一般には貸出は行っていないため、未記入とします。,ホール・劇場
中央区,銀座４丁目,-,東京都中央区銀座4-7-5,35.67109,139.7664,王子ホール,03-3564-0200,https://www.ojihall.jp/,315,315,オープン形式,シューボックス形式,固定席,"ポップス, クラシック, ジャズ, 能・狂言, 日本の伝統音楽（邦楽等）, 世界の民族音楽, オペラ, ダンス・パフォーマンス, 合唱","ポップス, クラシック, ジャズ, 日本の伝統音楽（邦楽等）, 世界の民族音楽",一般に貸出している,,9:00～21:30,ホール・劇場
中央区,銀座５丁目,-,東京都中央区銀座5-15-8,35.6683,139.76753,時事通信ホール,03-3546-6606,http://www.jiji.com/hall/,,,,,,"ポップス, 演歌・歌謡曲, 演劇, 能・狂言, 日本の伝統音楽（邦楽等）, お笑い・寄席・演芸, 映像上映会（試写会など）, 講演会, 展示会, 企業PR、紹介","ポップス, 演歌・歌謡曲, 演劇, 日本の伝統音楽（邦楽等）, お笑い・寄席・演芸, 映像上映会（試写会など）, 講演会, 展示会, 企業PR、紹介",一般に貸出している,,9:00～22:00,ホール・劇場
中央区,銀座６丁目,-,東京都中央区銀座6-10-1,35.66956,139.76405,ザ・グラン銀座・多目的ホール,03-6280-6780,http://www.grandginza.com/,140,140,,,可動席（スタッキングチェア）,"クラシック, ジャズ, 日本の伝統音楽（邦楽等）, オペラ, 講演会, 展示会","クラシック, ジャズ, 日本の伝統音楽（邦楽等）, お笑い・寄席・演芸, オペラ, 合唱, 映像上映会（試写会など）, 講演会, 展示会",一般に貸出している,,11:00～23:00,ホール・劇場
中央区,銀座６丁目,-,東京都中央区銀座6-18-2,35.66696,139.76706,新橋演舞場,03-3541-2600,http://www.shinbashi-enbujo.co.jp/,1426,1424,プロセニアム形式,シューボックス形式,固定席,"クラシック, 演歌・歌謡曲, 演劇, ミュージカル, 歌舞伎, 日本の伝統音楽（邦楽等）, お笑い・寄席・演芸, 講演会","クラシック, 演歌・歌謡曲, 演劇, ミュージカル, 歌舞伎, 日本の伝統音楽（邦楽等）, お笑い・寄席・演芸, 映像上映会（試写会など）",,,,ホール・劇場
中央区,銀座６丁目,-,東京都中央区銀座6-3-16,35.67129,139.76091,Ｍｉｉｙａ Ｃａｆｅ,03-3571-5402,http://www.miiya-cafe.com/,,,,,,,,,,,ホール・劇場
中央区,銀座６丁目,-,東京都中央区銀座6-9-15,35.67002,139.76338,銀座タクト,03-3571-3939,http://ginzatact.com,80,150,オープン形式,アリーナ・平土間形式,,"ポップス, クラシック, 演歌・歌謡曲, ジャズ, 演劇, ミュージカル, 日本の伝統音楽（邦楽等）, 世界の民族音楽, お笑い・寄席・演芸, ダンス・パフォーマンス, 合唱, 映像上映会（試写会など）, 講演会","ポップス, クラシック, 演歌・歌謡曲, ジャズ, 演劇, ミュージカル, 歌舞伎, 能・狂言, 日本の伝統音楽（邦楽等）, 世界の民族音楽, お笑い・寄席・演芸, バレエ, オペラ, ダンス・パフォーマンス, 合唱, 映像上映会（試写会など）, 講演会, 展示会",一般に貸出している,,,ホール・劇場
中央区,銀座７丁目,-,東京都中央区銀座7-5-4,35.66991,139.76134,GINZA Lounge ZERO,03-6274-6631,http://ginza-zero.jp/,86,86,プロセニアム形式,シューボックス形式,,"ポップス, クラシック, 演歌・歌謡曲, ジャズ, 演劇, ミュージカル, 日本の伝統音楽（邦楽等）, 世界の民族音楽, ダンス・パフォーマンス, 合唱, 映像上映会（試写会など）, 講演会, パーティー","ポップス, クラシック, 演歌・歌謡曲, ジャズ, 演劇, ミュージカル, 日本の伝統音楽（邦楽等）, 世界の民族音楽, ダンス・パフォーマンス, 合唱, 映像上映会（試写会など）, 講演会, パーティー",一般に貸出している,,17:00～23:00,ホール・劇場
中央区,銀座７丁目,-,東京都中央区銀座7-8-19,35.66914,139.76245,RockyTop,Fax共通03-3571-1769,http://www.liverocky.com/index.html,,53,?、よくわからない。,?、よくわからない。,?、よくわからない。,"ポップス, 演歌・歌謡曲, ジャズ, 世界の民族音楽, ブルーグラス, カントリー, ロック、フォーク","ポップス, ジャズ, 世界の民族音楽, ブルーグラス, カントリー, ウェストコーストロック（ジプシージャズ）",一般に貸出している,,0:00～24:00,ホール・劇場
中央区,銀座７丁目,-,東京都中央区銀座7-9-14,35.66885,139.76288,ヤマハホール,03-3572-3139,https://www.yamahaginza.com/hall/,333,333,オープン形式,シューボックス形式,固定席,"ポップス, クラシック, 演歌・歌謡曲, ジャズ, ミュージカル, 日本の伝統音楽（邦楽等）, 世界の民族音楽, オペラ, 合唱, 発表会","クラシック, ジャズ, 日本の伝統音楽（邦楽等）, 世界の民族音楽, オペラ, 合唱, アコースティック音楽",一般に貸出している,,9:00～22:00,ホール・劇場
中央区,銀座７丁目,-,東京都中央区銀座7-9-14,35.66885,139.76288,ヤマハ銀座スタジオ,03-3572-3139,https://www.yamahaginza.com/studio/,112,200,"オープン形式, エンドステージ形式、昇降ステージ","アリーナ・平土間形式, ボックス・イン・ボックス",可動席（スタッキングチェア）,"ポップス, クラシック, 演歌・歌謡曲, ジャズ, 日本の伝統音楽（邦楽等）, 世界の民族音楽, オペラ, ダンス・パフォーマンス, 合唱, 映像上映会（試写会など）, 講演会, 展示会, 発表会, 収録・撮影","ポップス, クラシック, 演歌・歌謡曲, ジャズ, 日本の伝統音楽（邦楽等）, 世界の民族音楽, ダンス・パフォーマンス, 合唱, 映像上映会（試写会など）, 講演会, 展示会, 発表会, 収録・撮影",一般への貸出はしていない,,9:00～22:00,ホール・劇場
中央区,銀座８丁目,-,東京都中央区銀座8-2-1,35.66983,139.75958,銀座ケントス,03-3572-9161,http://www.kentos-tokyo.jp/ginza/,,,,,,,,,,,ホール・劇場
中央区,銀座８丁目,-,東京都中央区銀座8-3-11,35.66896,139.75916,月夜の仔猫/３６５１,03-3573-3651,http://www.asumi.com/,38,50,なし,,可動席（スタッキングチェア）,"ポップス, クラシック, 演歌・歌謡曲, ジャズ, ミュージカル, オペラ, ダンス・パフォーマンス, 映像上映会（試写会など）, 手品, -, -","ポップス, クラシック, 演歌・歌謡曲, ジャズ, ミュージカル, 日本の伝統音楽（邦楽等）, お笑い・寄席・演芸, オペラ, ダンス・パフォーマンス, 合唱, 映像上映会（試写会など）, 手品",一般に貸出している,,,ホール・劇場
中央区,銀座８丁目,-,東京都中央区銀座8-8-11,35.6682,139.76146,博品館劇場,03-3571-1003,http://theater.hakuhinkan.co.jp/,,,プロセニアム形式,,固定席,"ポップス, 演歌・歌謡曲, ジャズ, 演劇, ミュージカル, お笑い・寄席・演芸, バレエ, ダンス・パフォーマンス, 映像上映会（試写会など）, 講演会",,,,9:00～22:00,ホール・劇場
中央区,有楽町２丁目,大丸有,東京都中央区銀座西2-2,35.67363,139.77029,ジャズクラブ 銀座スウィング,03-3563-3757,http://ginzaswing.jp/,90,,プロセニアム形式,アリーナ・平土間形式,可動席（スタッキングチェア）,,,,,,ホール・劇場
中央区,銀座７丁目,-,東京都中央区銀座7-2,35.67037,139.75993,シャンソニエ蛙たち,03-3571-4417,http://www.kaerutachi.jp/,75,78,,,,"ポップス, クラシック, 演劇, ミュージカル, 日本の伝統音楽（邦楽等）, 世界の民族音楽, お笑い・寄席・演芸, ダンス・パフォーマンス, 合唱, 映像上映会（試写会など）, 講演会","ポップス, クラシック, 演歌・歌謡曲, ジャズ, 演劇, ミュージカル, 日本の伝統音楽（邦楽等）, 世界の民族音楽, お笑い・寄席・演芸, ダンス・パフォーマンス, 合唱, 映像上映会（試写会など）, 講演会",一般に貸出している,,9:00～24:00,ホール・劇場
中央区,月島４丁目,-,東京都中央区月島4-1-1,35.66207,139.78218,月島社会教育会館〔ホール〕,03-3531-6367 ,http://chuo-shakyo.shopro.co.jp/tsukishima,240,240,プロセニアム形式,シューボックス形式,ロールバックチェア,"演歌・歌謡曲, 日本の伝統音楽（邦楽等）, お笑い・寄席・演芸, ダンス・パフォーマンス, 合唱, 講演会","お笑い・寄席・演芸, 講演会",利用条件の設定,-,,ホール・劇場
中央区,晴海１丁目,-,東京都中央区晴海1-8-9,35.65556,139.78183,第一生命ホール,03-3532-3535,http://www.dai-ichi-seimei-hall.jp/,767,767,プロセニアム形式,,固定席,,,一般に貸出している,,9:00～21:30,ホール・劇場
中央区,築地３丁目,-,東京都中央区築地3-15-1,35.66647,139.77245,ブディストホール,03-3248-0798,https://buddhisthall.com,164,164,プロセニアム形式,シューボックス形式,固定席,"ポップス, クラシック, 演歌・歌謡曲, ジャズ, 演劇, ミュージカル, 日本の伝統音楽（邦楽等）, 世界の民族音楽, お笑い・寄席・演芸, ダンス・パフォーマンス, 合唱, 映像上映会（試写会など）, 講演会","ポップス, クラシック, 演歌・歌謡曲, ジャズ, 演劇, 日本の伝統音楽（邦楽等）, 世界の民族音楽, お笑い・寄席・演芸, ダンス・パフォーマンス, 合唱, 映像上映会（試写会など）, 講演会",,,10:00～22:00,ホール・劇場
中央区,築地５丁目,-,東京都中央区築地5-3-2,35.6642,139.76624,浜離宮朝日ホール〔音楽ホール〕,03-5541-8710,http://www.asahi-hall.jp/hamarikyu/,552,552,オープン形式,シューボックス形式,固定席,"ポップス, クラシック, 演歌・歌謡曲, ジャズ, 日本の伝統音楽（邦楽等）, 世界の民族音楽, 合唱, 映像上映会（試写会など）, 講演会",クラシック,一般に貸出している,,,ホール・劇場
中央区,築地５丁目,-,東京都中央区築地5-3-2,35.6642,139.76624,浜離宮朝日ホール 〔小ホール〕,03-5541-8710,http://www.asahi-hall.jp/hamarikyu/,398,398,オープン形式,アリーナ・平土間形式,"ロールバックチェア, 可動席（スタッキングチェア）","ポップス, クラシック, 演歌・歌謡曲, ジャズ, 演劇, 日本の伝統音楽（邦楽等）, 世界の民族音楽, お笑い・寄席・演芸, 合唱, 映像上映会（試写会など）, 講演会, 展示会","お笑い・寄席・演芸, 講演会",一般に貸出している,,,ホール・劇場
中央区,築地５丁目,-,東京都中央区築地5-6-10,35.66261,139.76543,ＢＬＵＥ ＭＯＯＤ,03-3549-6010,https://blue-mood.jp/,,,,,,,,,,,ホール・劇場
中央区,日本橋蛎殻町１丁目,-,東京都中央区日本橋蛎殻町1-31-1,35.68245,139.78433,中央区立日本橋公会堂（日本橋劇場）〔ホール（日本橋劇場）〕,03-3666-4255,http://www.nihonbasikokaido.com/,424,440,プロセニアム形式,シューボックス形式,固定席,"クラシック, 演歌・歌謡曲, 演劇, ミュージカル, 歌舞伎, 能・狂言, 日本の伝統音楽（邦楽等）, 世界の民族音楽, お笑い・寄席・演芸, バレエ, ダンス・パフォーマンス, 合唱, 映像上映会（試写会など）, 講演会","演劇, 歌舞伎, 能・狂言, 日本の伝統音楽（邦楽等）, お笑い・寄席・演芸, 講演会",一般に貸出している,,9:00～21:30,ホール・劇場
中央区,日本橋茅場町１丁目,-,東京都中央区日本橋茅場町1-5-8,35.68055,139.77933,東京証券会館,03-3667-9210,http://www.ts-kaikan.co.jp/,342,342,オープン形式,シューボックス形式,固定席,"演劇, 日本の伝統音楽（邦楽等）, 世界の民族音楽, お笑い・寄席・演芸, 講演会, -","日本の伝統音楽（邦楽等）, 講演会, -",一般に貸出している,,,ホール・劇場
中央区,日本橋室町１丁目,日八京,東京都中央区日本橋室町1-4-1,35.68566,139.77345,三越劇場,0120-03-9354,https://mitsukoshi.mistore.jp/bunka/theater/info.html,514,514,プロセニアム形式,,固定席,"ポップス, クラシック, 演歌・歌謡曲, ジャズ, 演劇, ミュージカル, 歌舞伎, 能・狂言, 日本の伝統音楽（邦楽等）, 世界の民族音楽, お笑い・寄席・演芸, バレエ, オペラ, ダンス・パフォーマンス, 合唱, 映像上映会（試写会など）, 講演会, 展示会","ポップス, クラシック, 演歌・歌謡曲, ジャズ, 演劇, ミュージカル, 歌舞伎, 能・狂言, 日本の伝統音楽（邦楽等）, 世界の民族音楽, お笑い・寄席・演芸, バレエ, オペラ, ダンス・パフォーマンス, 合唱, 映像上映会（試写会など）, 講演会, 展示会, -",一般に貸出している,,,ホール・劇場
中央区,日本橋室町２丁目,日八京,東京都中央区日本橋室町2-2-1,35.68666,139.77415,日本橋三井ホール〔日本橋三井ホール〕,03-5200-3210,https://www.nihonbashi-hall.jp/,1000,1000,オープン形式,アリーナ・平土間形式,"ロールバックチェア, 可動席（スタッキングチェア）","ポップス, クラシック, 演歌・歌謡曲, ジャズ, 演劇, ミュージカル, 歌舞伎, 能・狂言, 日本の伝統音楽（邦楽等）, 世界の民族音楽, お笑い・寄席・演芸, ダンス・パフォーマンス, 映像上映会（試写会など）, 講演会, 展示会","ポップス, クラシック, 演歌・歌謡曲, ジャズ, 演劇, ミュージカル, 歌舞伎, 能・狂言, 日本の伝統音楽（邦楽等）, 世界の民族音楽, お笑い・寄席・演芸, バレエ, オペラ, ダンス・パフォーマンス, 合唱, 映像上映会（試写会など）, 講演会, 展示会",一般に貸出している,,9:00～20:00,ホール・劇場
中央区,日本橋人形町１丁目,-,東京都中央区日本橋人形町1-1-17,35.68461,139.78142,日本橋社会教育会館〔ホール〕,03-3669-2102,http://chuo-shakyo.shopro.co.jp/nihonbashi,204,204,プロセニアム形式,,ロールバックチェア,"クラシック, 日本の伝統音楽（邦楽等）, お笑い・寄席・演芸, ダンス・パフォーマンス, 講演会, 展示会","日本の伝統音楽（邦楽等）, お笑い・寄席・演芸, ダンス・パフォーマンス, 講演会",利用条件の設定,-,,ホール・劇場
中央区,日本橋浜町２丁目,-,東京都中央区日本橋浜町2-31-1,35.68779,139.78699,明治座,03-3660-3939,http://www.meijiza.co.jp/,1448,1448,プロセニアム形式,シューボックス形式,固定席,"ポップス, クラシック, 演歌・歌謡曲, 演劇, ミュージカル, 歌舞伎, 日本の伝統音楽（邦楽等）, お笑い・寄席・演芸, ダンス・パフォーマンス","ポップス, 演歌・歌謡曲, 演劇, 歌舞伎",一般への貸出はしていない,,,ホール・劇場
中央区,日本橋本町３丁目,日八京,東京都中央区日本橋本町3-1-6,35.68809,139.77438,お江戸日本橋亭,03-3245-1278,http://ntgp.co.jp/engei/nihonbasi/index.html,,,,,,,,,,,ホール・劇場
千代田区,一ツ橋２丁目,-,東京都千代田区一ツ橋2-1-2,35.69233,139.75815,一橋大学　一橋講堂,03-4212-3900,http://www.hit-u.ac.jp/hall/index.html,521,521,オープン形式,,固定席,"能・狂言, 講演会",講演会,一般に貸出している,,,ホール・劇場
千代田区,一ツ橋２丁目,-,東京都千代田区一ツ橋2-6-2,35.69425,139.75655,（一財）日本教育会館〔一ツ橋ホール〕,03-3230-2831,https://www.jec.or.jp/,802,802,オープン形式,シューボックス形式,"固定席, ロールバックチェア","ポップス, クラシック, 演歌・歌謡曲, ジャズ, 演劇, ミュージカル, 歌舞伎, 世界の民族音楽, お笑い・寄席・演芸, ダンス・パフォーマンス, 合唱, 映像上映会（試写会など）, 講演会, 展示会","ポップス, クラシック, 演歌・歌謡曲, ジャズ, 演劇, ミュージカル, 歌舞伎, 世界の民族音楽, お笑い・寄席・演芸, バレエ, ダンス・パフォーマンス, 合唱, 映像上映会（試写会など）, 講演会, 展示会",一般に貸出している,,9:00～21:00,ホール・劇場
