指標名,ナイトライフ施設,,,,,,,,,,,,,
出典,TOKYO CLUB MAP,,,,,,,,,,,,,
年次,2024/01/31取得,,,,,,,,,,,,,
URL,https://www.tokyo-club.net/,,,,,,,,,,,,,
備考,(2021年度：343件、2022年度：344件、2023年度：514件),,,,,,,,,,,,,
,,,,,,,,,,,,,,
区,町丁,エリア,住所,緯度,経度,施設名,業種,ジャンル,電話,営業時間,定休日,キャパシティ,平均利用金額,URL
港区,西麻布３丁目,-,東京都港区西麻布3-2-9 サンライズ六本木B1F,35.6601664,139.727782,BASECAMP,バー ･ イベントスペース,All Genre ･ Others,Closed,19:00-24:00 ※イベント開始はそれぞれ異なる,日 ･ 月 (※要確認),約116平米,,https://www.tokyo-club.net/roppongi-basecamp/
新宿区,歌舞伎町１丁目,-,東京都新宿区歌舞伎町1-7-1 J2ビルディングB1-B2F,35.6942082,139.702788,CASABLANCA ex. CROSSOVER,クラブバー,R&B ･ POPs ･ Reggae ･ HipHop ･ House ･ Trance ･ Allmix ･ Electro,03-6457-6501,20:00-05:00,無休,地下2階 150名 / 地下1階 30名程 (目算),"エントランス料 ※目安
男性 1,000円～3,000円 / 女性 1,000円～",https://www.tokyo-club.net/crossover-shinjuku/
渋谷区,代官山町１１丁目,-,東京都渋谷区代官山町11-12 日進ヒルズ代官山B1F,35.6509045,139.7037368,Debris,ミュージックバー,Techno ･ House ･ Disco ･ Others,03-6416-4334,19:00-24:00 / 金･土19:00-25:00,(日 ※要確認),40名未満 (目算),"2,000円～
(イベントによりミュージックチャージ又はエントランス料金が発生)
粥 850円～ / 薬膳茶 600円",https://www.tokyo-club.net/debris/
渋谷区,神宮前６丁目,-,東京都渋谷区神宮前6-28-6 キュープラザ原宿10F-11F,35.6670964,139.7038218,Sankeys PENTHOUSE,バーラウンジ,TechHouse ･ BassMusic ･ House ･ Techno ･ Disco ･ Electronic ･ HipHop ･ etc.,Closed,12:00-24:00,無し,"150席
面積: 約260平米 (10階 150平米 / 11階 110平米)","3,500円～
エントランス: 無料～1000円 (目安)",https://www.tokyo-club.net/sankeys-penthouse/
新宿区,歌舞伎町１丁目,-,東京都新宿区歌舞伎町1-1-7 マルハビル3F,35.6939874,139.7049687,URACUE,バー,Reggae ･ HipHop ･ Soul ･ Funk ･ Jazz ･ Techno ･ House ･ etc.,,18:00-06:00,無し,12席,"チャージ 800円
ドリンク 600円～
(イベント時のエントランス 1000円1D)",https://www.tokyo-club.net/uracue/
中央区,銀座１丁目,-,東京都中央区銀座1-8-19 キラリトギンザ12F･RF,35.6743274,139.7685683,PLUSTOKYO,クラブ ･ ラウンジ,Techno ･ House ･ Drum&Bass ･ Electro ･ EDM ･ DUBSTEP ･ Disco ･ BassMusic ･ Trap ･ etc.,Closed,"金 21:00-04:00
更新の可能性あり、要事前確認",日･月,"1000名以上
(席数: 12階 148席 / 屋上 94席)","5,000円前後",https://www.tokyo-club.net/plustokyo/
渋谷区,渋谷３丁目,-,東京都渋谷区渋谷3-21-3 4F,35.6571635,139.7032207,Bar&Dining TORRENT,バー＆ダイニング,Lounge ･ HipHop ･ House ･ Techno ･ R&B ･ BassMusic ･ Disco ･ etc.,03-6427-1358,"バー営業: 17:00-24:00
(DJ: 20:30-23:30 ※変動の為、要確認)",無し,100名 (全91席),"1,500円",https://www.tokyo-club.net/torrent/
新宿区,西新宿６丁目,-,東京都新宿区西新宿6-6-2 ヒルトン東京2F,35.6925835,139.6911889,バー&ラウンジ ZATTA,バー,R&B ･ Jazz ･ POPs ･ HipHop ･ House ･ Allmix ･ Electro ･ NewAge ･ Live ･ Acoustic,03-3344-5111,11:00-22:00,無し,65席,"夜 5,000円～ / 昼 3,000円",https://www.tokyo-club.net/zatta/
中央区,銀座６丁目,-,東京都中央区銀座6-9-15 TACT1ビルB1F,35.669976,139.7631514,TACT,ライブハウス,Live ･ Blues ･ Folk ･ Acoustic ･ Oldies ･ Jazz ･ Rock ･ POPs ･ Hawaiian ･ Country ･ Ballade ･ Others,03-3571-3939,スケジュールによる,無し,座80 / 立100名,4000円～6500円,https://www.tokyo-club.net/tact/
新宿区,新宿２丁目,-,東京都新宿区新宿2-14-16 タラクビル3F,35.6907065,139.7095167,DJ&VJ Bar A-UN,バー,Allmix ･ Techno ･ House ･ HipHop ･ EDM,070-6612-9014,金･土･祝前 20:00-05:00,不定休,20席 (立 50名),"ファーストドリンク: 男性2000円 / 女性1000円
※変更の可能性あり",https://www.tokyo-club.net/a-un/
渋谷区,代々木２丁目,-,東京都渋谷区代々木2-26-2 第二桑野ビル1-C,35.6853632,139.6990948,Spincoaster Music Bar,バー,BlackMusic ･ All Genre ･ Disco ･ POPs ･ ChillOut ･ House ･ HipHop ･ etc.,03-6823-8847,19:00-02:00,日 (貸切は可能),17席,"2,500円 (チャージ700円)",https://www.tokyo-club.net/spincoaster-music-bar/
渋谷区,道玄坂２丁目,-,東京都渋谷区道玄坂2-23-12 フォンティスビル2F,35.6600683,139.6959378,Studio Freedom,イベントスペース,Dance ･ Live ･ Electro ･ Techno ･ House ･ HipHop ･ Others,03-5784-5496,"スケジュールにより変動
(レンタル: 日中 12:00-22:00 / 夜 23:00-05:00)",不定,"350人 / 面積:約207平米
コインロッカー: 150","3,000円前後 ※クラブイベントの場合
(会場使用: 日中 18万円～ / 夜 10万円～)",https://www.tokyo-club.net/studio-freedom/
中央区,銀座４丁目,-,東京都中央区銀座4-3-5 ハトリビル4F,35.6722986,139.7647176,POP INN,バー,R&B ･ HipHop ･ 90s ･ 80s ･ Funk ･ Soul ･ Classics ･ Disco ･ Reggae ･ Allmix,03-6271-0785,19:00～,日,25席 (立 40人),"3,800円",https://www.tokyo-club.net/pop-inn/
新宿区,新宿２丁目,-,東京都新宿区新宿2-18-5 石川ビル2F,35.6909967,139.7080306,NEW SAZAE,バー ･ ディスコ,Soul ･ Funk ･ 70s ･ 80s ･ Disco ･ House ･ R&B ･ EUROBEAT ･ etc.,03-6384-1978,22:00-06:00 (週末･祝前),(日-木 ※2018年6月以降),"2,500円前後
ドリンク 700円","1,000円",https://www.tokyo-club.net/new-sazae/
新宿区,歌舞伎町１丁目,-,東京都新宿区歌舞伎町1-21-1 第二東亜会館B1-B2F,35.6952253,139.701307,WARP SHINJUKU,CLUB,Allmix ･ EDM ･ House ･ Techno ･ HipHop ･ Trap ･ DUBSTEP ･ BassMusic ･ etc.,03-6278-9197,21:00～ラスト,不定,メインフロア: 600名 / 全体: 1500名未満 (320坪),"男性3,000円～ / 女性2,000円",https://www.tokyo-club.net/warp-shinjuku/
新宿区,早稲田町,-,東京都新宿区早稲田町74 オアシスビルB1F,35.7057766,139.7228735,RiNen,ライブハウス,Acoustic ･ Folk ･ POPs ･ Rock ･ Others,03-6273-8832,"公演開始時間は日により変動
(貸切可能時間: 10:00-22:00)",,100人,"3,000円～",https://www.tokyo-club.net/rinen/
渋谷区,宇田川町３丁目,-,東京都渋谷区宇田川町3-7 ヒューリック渋谷公園通りビル1F,35.66254,139.6989951,koe space (hotel koe tokyo),イベントスペース,Techno ･ House ･ HipHop ･ Electro ･ Funk ･ Disco ･ Soul ･ Live,Closed,※催し物による (DJイベントの場合 20:00-24:00 が多い),無し,2000円,2018年2月,https://www.tokyo-club.net/koe-space/
港区,六本木７丁目,六本木,東京都港区六本木7-13-7 2F,35.6639972,139.7305357,VABEL LOUNGE (Tower of Vabel),バー,Allmix ･ House ･ HipHop ･ Reggae ･ Latin,03-5413-8077,21:00-05:00,日,100人,3000円～,https://www.tokyo-club.net/vabel-lounge/
新宿区,百人町１丁目,-,東京都新宿区百人町1-23-3 亀井ビル2F,35.6987648,139.6971901,Rock Inn DICE,バー,Rock ･ Punk ･ Metal ･ Acoustic ･ Live,03-5937-2043,19:00-05:00,不定休,30名,2000円前後～,https://www.tokyo-club.net/rock-inn-dice/
渋谷区,代官山町２０丁目,-,東京都渋谷区代官山町20-20 モンシェリー代官山B2F,35.648076,139.702266,晴れたら空に豆まいて,イベントスペース,POPs ･ Acoustic ･ All Genre ･ Others,03-5456-8880,"18:00～ ※公演ごとに開催時間は変動
(貸切: 日中10:00-15:00 / 夜15:00-22:00)",無休,200名 (座: 130席),5000円前後,https://www.tokyo-club.net/haretarasoranimamemaite/
港区,六本木４丁目,六本木,東京都港区六本木4-5-2 UビルB1F,35.6650061,139.7327361,atomage,バー,Rock ･ R&B ･ TechHouse ･ House ･ Electro ･ Ska ･ Funk ･ Disco,Closed,19:00-02:00 / 週末 19:00-03:00,日,30席前後,"チャージ 1000円
ドリンク 700円～",https://www.tokyo-club.net/atomage/
渋谷区,宇田川町３０丁目,-,東京都渋谷区宇田川町30-5 JOWビルB1F,35.6608944,139.6979788,Club Malcolm,DJ＆ライブスペース,All Genre ･ POPs ･ Live ･ A-POP,03-6455-0225,"※イベントにより変わる
(箱貸: 09:00-15:00 / 15:00-23:00 / 深夜 23:00-05:30)
バー / 19:00-02:00 ※要確認",不定休,130人,3000円～,https://www.tokyo-club.net/club-malcolm/
渋谷区,宇田川町１３丁目,-,東京都渋谷区宇田川町13-16 コクサイビルA館B1F,35.6613934,139.6984167,JUMANJI 33,CLUB,Allmix ･ House ･ HipHop ･ etc.,03-6452-5833,"20:00-04:30 ※変動の可能性あり
(ハッピーアワー 20:00-24:00)",無し,200人未満,"3,000円前後",https://www.tokyo-club.net/jumanji-33/
千代田区,神田紺屋町２０丁目,-,東京都千代田区神田紺屋町20-1 神保ビルB1F,35.6920093,139.773375,ISOLDE,バー,Rock ･ Blues ･ Folk ･ POPs,03-5294-6282,17:00～ / 土･日･祝は、日により変動,不定休,35席未満,"3,800円",https://www.tokyo-club.net/isolde/
渋谷区,渋谷４丁目,-,東京都渋谷区渋谷4-5-9 青山ビル1F,35.6586498,139.7091999,RED BAR,バー,Techno ･ House ･ etc.,03-5888-5847,平日 20:00-05:00 / 週末 20:00-08:00 ※変動する場合あり,日,40名未満,1000円～2500円,https://www.tokyo-club.net/red-bar/
港区,赤坂７丁目,赤坂,東京都港区赤坂7-9-7 バルビゾン74 1F,35.6698229,139.7330499,dot & blue,バー,Piano ･ Jam session ･ Jazz ･ Disco ･ House,03-3568-3188,18:00-02:00,日 ･ 祝,約50名,5000円,https://www.tokyo-club.net/dot-blue/
港区,六本木７丁目,六本木,東京都港区六本木7-5-11 カサグランデミワ2F,35.6649259,139.7278073,R&B cafe Boo,カフェ ･ バー,BlackMusic,Closed,"ランチ 11:00-17:00
ディナー 18:00-23:00
ラウンジ 23:00-05:00 (日･祝 ～23:00)",火,立 50名,1000円～4000円,https://www.tokyo-club.net/cafe-boo/
渋谷区,神南１丁目,-,東京都渋谷区神南1-9-11 インタービルⅡB1F,35.6649311,139.7015779,Bar SUBTERRANEANS,バー,Techno ･ Live ･ Others,03-6416-3967,18:00-03:00,月,30人,"3,500円",https://www.tokyo-club.net/bar-subterraneans/
港区,赤坂３丁目,赤坂,東京都港区赤坂3-14-1 コンチネンタルIVビルB1F,35.6764123,139.7374107,The Great Journey,バー,R&B ･ Jazz ･ Disco ･ Soul ･ Funk ･ 70s ･ 80s ･ HipHop,Closed,19:00-03:00,日 ･ 祝,70名 (40席),"4,000円",https://www.tokyo-club.net/great-journey/
港区,六本木７丁目,六本木,東京都港区六本木7-6-3 喜楽ビル201,35.6646311,139.7285403,Funky D,バー,80s ･ 70s ･ Funk ･ Soul ･ R&B ･ House ･ HipHop,03-3403-5636,平日 20:00-24:00 / 週末 20:00-02:00,日-水 ･ 祝日 (祝前は営業の可能性あり),15名,"4000円 (チャージ 1000円)
ドリンク 800円～",https://www.tokyo-club.net/funky-d/
港区,六本木３丁目,六本木,東京都港区六本木3-11-10 ココ六本木ビル4F,35.6632884,139.7329703,RAKAN TOKYO,バー,HipHop ･ Latin ･ R&B ･ etc.,Closed,20:00-07:00 ※貸切等により変動あり。要確認,日 ※祝前日の場合、変わる可能性あり,100名前後,,https://www.tokyo-club.net/rakan-tokyo/
新宿区,歌舞伎町１丁目,-,東京都新宿区歌舞伎町1-2-5 東陽ビルB2F,35.6937411,139.7040213,Zirco Tokyo,ライブハウス,All Genre ･ Rock ･ POPs ･ Others,03-6278-9190,※ライブにより変わる,不定,250人,,https://www.tokyo-club.net/zirco-tokyo/
新宿区,歌舞伎町２丁目,-,東京都新宿区歌舞伎町2-28-16 ウィザードセブンB1F,35.6961279,139.7034063,FATE,ライブハウス,POPs ･ V-ROCK ･ A-POP ･ Others,03-6278-9332,※ライブにより変動,,150名,,https://www.tokyo-club.net/fate/
千代田区,有楽町１丁目,大丸有,東京都千代田区有楽町1-1-2 東京ミッドタウン日比谷3F,35.6737436,139.7591762,Billboard cafe & dining,レストラン,All Genre ･ Disco ･ Acoustic ･ TOP40 ･ Others,Closed,"11:00-23:00
ランチ 11:00～
カフェ 15:00～
ディナー 17:00～",不定休,店内: 100席以上 / テラス: 36席,5000円 / ランチ 1500円,https://www.tokyo-club.net/billboard-cafe-dining/
江東区,亀戸６丁目,-,東京都江東区亀戸6-15-5 庄司ビル2F,35.6954251,139.8265209,Charlie,バー,Disco ･ Soul ･ Funk ･ HipHop ･ 70s ･ 80s ･ 90s ･ Oldies ･ Live,03-5875-5203,"平日 20:00-25:00 / 週末･祝前 20:00-05:00
※変動の可能性あり",日 ･ 祝 (臨時休あり),立 40人,2500円～3500円,https://www.tokyo-club.net/charlie/
新宿区,大久保２丁目,-,東京都新宿区大久保2-5-19 シティプラザ大久保B1F,35.7029809,139.7081503,HEAD POWER,ライブハウス,Rock ･ POPs ･ Hardcore ･ R&B ･ A-POP ･ Folk ･ Others,03-6380-3769,"15:00-22:00
貸切可能 09:00-22:00 / 深夜23:00-05:00",不定,150名前後,,https://www.tokyo-club.net/head-power/
新宿区,新宿３丁目,-,東京都新宿区新宿3-26-14 新宿ミニムビルⅡ8F,35.6917799,139.7024854,333×concept B,スタンディングバー,Allmix,閉業,金 ･ 土 ･ 祝前 19:00-28:00,平日 ･ 日曜,300人,3000円,https://www.tokyo-club.net/333-conceptb/
渋谷区,渋谷１丁目,-,東京都渋谷区渋谷1-11-1 COI西青山bldg.B1F,35.6610321,139.70448,THE GUINGUETTE by MOJA,バル,Live ･ Others ･ POPs ･ Electronic ･ Jazz ･ HipHop ･ etc.,Closed,17:00-02:00 / 週末 17:00-03:00 ※変動する場合あり,不定,100人,"4,000円",https://www.tokyo-club.net/moja/
新宿区,新宿４丁目,-,東京都新宿区新宿4-3-15 レイフラット新宿B1F,35.6886342,139.7036224,ANTIKNOCK,ライブハウス,Hardcore ･ Punk ･ HeavyMetal ･ HardRock ･ Rock ･ HipHop ･ etc.,03-3350-5670,"※ライブ時間は変動

貸切可能 (目安)
昼 9:00-14:00
夜 15:00-22:00(平日)
深夜 24:00-05:00",無し,250名,,https://www.tokyo-club.net/antiknock/
新宿区,新宿２丁目,-,東京都新宿区新宿2-18-1 第7天香ビル1F,35.6909799,139.7081004,AiiRO CAFE,バー,House ･ Allmix ･ POPs ･ Electro,03-6273-0740,"18:00-02:00
金･土 05:00まで
日 24:00まで",不定休,30名未満,2000円,https://www.tokyo-club.net/aiiro-cafe/
新宿区,歌舞伎町２丁目,-,東京都新宿区歌舞伎町2-45-4 第2与三郎ビル3F,35.696549,139.700461,りあにすたぁ,バー,A-POP,03-6302-1724,19:00-23:30,日,20席前後,"3,000円",https://www.tokyo-club.net/alchemistar/
千代田区,神田佐久間町２丁目,-,東京都千代田区神田佐久間町2-11 アオイビル2F,35.697883,139.7764047,あるけみすと,DJバー,A-POP ･ Game Music,03-3863-4766,19:00-04:30,無休,20名,"3,000円",https://www.tokyo-club.net/alchemist/
新宿区,歌舞伎町２丁目,-,東京都新宿区歌舞伎町2-36-3 アシベ会館B2F,35.6958997,139.7024218,ACB HALL,ライブハウス,Rock ･ POPs ･ Acoustic ･ All Genre,03-3205-0901,"公演により変動
貸切対応 9:00-23:00",,300名,,https://www.tokyo-club.net/acb-hall/
渋谷区,円山町２丁目,-,東京都渋谷区円山町2-4 Dr.ジーカンズ1F,35.6583068,139.6952489,A BAR,CLUB,Allmix ･ EDM ･ HipHop ･ R&B,,ATOMの営業に準ずる,,,2017年11月,https://www.tokyo-club.net/abar-shibuya/
新宿区,神楽坂６丁目,-,東京都新宿区神楽坂6-48 TOMOSビルB1F,35.7034056,139.7360536,KGR(n) / 神楽音,クラブ,Ambient ･ Minimal ･ Deep House ･ Techno,03-6265-3523,※イベントごとに変動,不定,80～100名,2500円～,https://www.tokyo-club.net/kgrn/
新宿区,歌舞伎町１丁目,-,東京都新宿区歌舞伎町1-23-13 第1大滝ビル5F,35.6942724,139.7010394,カブキラウンジ,バー,HipHop ･ Disco ･ Soul ･ Funk ･ Techno ･ R&B,03-6205-5125,18:00-24:00 / 週末 18:00-05:00,年末年始,60名,3000円,https://www.tokyo-club.net/kabuki-lounge/
渋谷区,神田猿楽町２丁目,-,東京都渋谷区猿楽町2-11 B1-B2F,35.6533025,139.7045199,SPACE ODD,イベント会場,All Genre ･ POPs ･ Live,03-6452-5671,公演ごとに変動,不定,B1階: 50人 / B2階: 300人,チケット代金+1ドリンク～,https://www.tokyo-club.net/space-odd/
新宿区,西早稲田２丁目,-,東京都新宿区西早稲田2-1-19 YKビルB1F,35.7065363,139.7174466,Sabaco,カフェバー,Techno ･ House ･ Others ･ Live ･ Electronic ･ A-POP,03-5272-7385,"18:30-23:30 ※日により変動
貸切可能: 平日18:00-24:00 / 土･日･祝14:00-24:00",月,40人,2000円～,https://www.tokyo-club.net/sabaco/
渋谷区,道玄坂１丁目,-,東京都渋谷区道玄坂1-18-3 プレミア道玄坂ビルB1F,35.6574051,139.6969766,SHIBUYA REX,ライブハウス,V-ROCK ･ HeavyMetal ･ POPs,03-5728-4911,※公演ごとに変動,,300名未満,,https://www.tokyo-club.net/shibuya-rex/
港区,赤坂３丁目,赤坂,東京都港区赤坂3-1-11 鈴木ビル3F,35.6768603,139.7367621,鶴千,バー,80s ･ 70s ･ Eurobeat ･ Funk ･ Soul ･ Disco,03-3583-2207,19:00-04:00,日 ･ 祝,50～100名,3000円,https://www.tokyo-club.net/tsurusen/
渋谷区,代々木１丁目,-,東京都渋谷区代々木1-31-12 日綜代々木ビルB1F,35.6814636,139.7023259,LIVE labo YOYOGI,ライブハウス,Rock ･ POPs ･ Folk ･ Live ･ Others,03-5354-3120,"※ライブごとに変動
貸切 昼10:00-14:00 / 夜14:30-22:30",,200～250名,,https://www.tokyo-club.net/live-labo-yoyogi/
渋谷区,宇田川町３２丁目,-,東京都渋谷区宇田川町32-12 アソルティ渋谷B1F,35.6610485,139.6973796,TAKE OFF 7,ライブハウス,POPs ･ Rock ･ Jazz ･ Acoustic ･ Folk ･ Blues ･ Live,03-3770-7755,"※開始時間は公演により変動
貸切 昼10:00-15:00 / 夜15:00-22:00",,200人,,https://www.tokyo-club.net/take-off-seven/
中央区,銀座６丁目,-,東京都中央区銀座6-3-5 第一高橋ビル5F,35.6716523,139.7614044,GINZA SUKI BAR,バー,HipHop ･ Reggae ･ Crossover ･ Techno ･ Electro ･ etc.,03-3573-5544,(21:00-05:00 ※変動あり要確認),(日 ※祝前日の場合は変わる可能性あり),2000円～3500円程,2006年,https://www.tokyo-club.net/ginza-suki-bar/
渋谷区,宇田川町１１丁目,-,東京都渋谷区宇田川町11-1 柳光ビル別館1F,35.6626299,139.6972998,rhythmcafe,バー,Soul ･ POPs ･ Others ･ 80s ･ Latin ･ Techno,03-3770-0244,18:00-02:00,"第1,3火曜",40人前後,3000円,https://www.tokyo-club.net/rhythm-cafe/
新宿区,歌舞伎町１丁目,-,東京都新宿区歌舞伎町1-6-13 良川ビル7 B1F,35.6938349,139.7028943,AL,イベント会場,HipHop ･ All Genre,03-3207-9664,"15:00-05:00
(営業時間外の貸切も応相談)",無休,立 100人,"2,500円～",https://www.tokyo-club.net/al-shinjyuku/
新宿区,歌舞伎町２丁目,-,東京都新宿区歌舞伎町2-45-2 ジャストビル5F,35.6963747,139.700451,Motion,ライブハウス,POPs ･ Rock ･ All Genre ･ Others,03-3209-1278,※毎ライブごとに変動,,120人,,https://www.tokyo-club.net/motion/
港区,六本木３丁目,六本木,東京都港区六本木3-13-12 エルサビル2F,35.6629135,139.7338684,MAGNET,レストランバー,HipHop ･ House ･ EDM ･ R&B ･ Techno,Closed,23:00-05:00 (レストラン ～22:00),日,立 100人,男性2000円～ / 女性1000円～,https://www.tokyo-club.net/magnet/
中央区,八丁堀３丁目,-,東京都中央区八丁堀3-22-9 B1F,35.6747697,139.7772392,SOUND&BAR HOWL,バー ･ イベント会場,Allmix ･ 80s ･ 90s ･ Trance ･ Techno ･ Disco,Closed,18:00-24:00 ※イベントによっては変動,無休,19席 / 立 40名前後,"3,000円 ※日によりエントランス料が発生する場合有",https://www.tokyo-club.net/howl/
渋谷区,宇田川町３丁目,-,東京都渋谷区宇田川町3-10 いちごフィエスタ渋谷4F,35.6625076,139.6987316,gee-ge.,ライブバー,Acoustic ･ POPs ･ Folk ･ Rock,03-6416-3468,"18:00～ ※ライブは日ごと変動
バー 23:00-05:00",不定休,～100人,4000円,https://www.tokyo-club.net/gee-ge/
新宿区,新宿２丁目,-,東京都新宿区新宿2-12-4 アコードビルB1F,35.6906152,139.7073596,Live Freak,ライブハウス,Hardcore ･ Rock ･ Punk ･ POPs ･ Others,03-3351-7542,"※日程ごとに変動
貸可能 13:00-22:00 / 深夜23:00-05:00",無し,200人,,https://www.tokyo-club.net/live-freak/
港区,北青山１丁目,-,東京都港区北青山1-4-5 VORT青山1丁目Duals B1F,35.672266,139.7217253,青山RizM,ライブハウス,POPs ･ Live ･ Folk ･ Rock ･ Others,03-6804-5925,※公演ごとに異なる,,250人,,https://www.tokyo-club.net/rizm/
渋谷区,渋谷２丁目,-,東京都渋谷区渋谷2-12-13 八千代ビルB1F,35.6587135,139.7081479,Last Waltz by shiosai,ライブハウス,Acoustic ･ Classics ･ Blues ･ POPs ･ Electronic ･ Rock ･ Folk ･ Jazz ･ HipHop ･ Others,Closed,"※公演スタートは異なる
貸切対応 9:30-23:00",,立 120人 / 座 80,3500円～,https://www.tokyo-club.net/last-waltz/
新宿区,百人町１丁目,-,東京都新宿区百人町1-17-7 大久保ビルA館B1F,35.7015383,139.6975678,HOTSHOT,ライブハウス,Blues ･ Folk ･ POPs ･ Jazz ･ HeavyMetal ･ Rock ･ Others,03-3366-8681,"※公演開始はそれぞれ異なる

貸切受付時間
昼 10:00-15:00
夜 17:00-22:00",無し ※不定休,立 120人 / 座 ～50人,,https://www.tokyo-club.net/hotshot/
渋谷区,代々木１丁目,-,東京都渋谷区代々木1-30-1 代々木パークビルB1F,35.6822436,139.7017658,Zher the ZOO YOYOGI,ライブハウス,Rock ･ Acoustic ･ POPs ･ Others,Closed,日により変動,,280人,,https://www.tokyo-club.net/zher-the-zoo/
新宿区,歌舞伎町１丁目,-,東京都新宿区歌舞伎町1-16-10 第27東京ビルB2F,35.6939174,139.7020068,GOLDEN EGG,ライブバー,Jazz ･ POPs ･ Soul ･ Funk ･ Rock ･ Others,03-3203-0405,"平日 19:00前後から
土日 ライブにより変動",無し,立 70人 / 座 ～50,2500円～,https://www.tokyo-club.net/golden-egg/
港区,赤坂３丁目,赤坂,東京都港区赤坂3-21-10 赤坂青明会館B1F,35.6764362,139.735884,Graffiti,ライブハウス,Acoustic ･ Rock ･ POPs ･ etc.,Closed,"※ライブ開演は日程による
貸切対応時間 10:00-22:00",不定休,座り 90席～ / 立 160人,4000円～,https://www.tokyo-club.net/graffiti/
港区,六本木５丁目,六本木,東京都港区六本木5-9-22 第二千陽ビルB1F,35.6619402,139.7330151,Electrik神社,バー,Jazz ･ Funk ･ Live ･ HipHop ･ Others,03-3478-3363,19:00-05:00,日,50人,3500円前後,https://www.tokyo-club.net/electrik-jinja/
港区,赤坂３丁目,赤坂,東京都港区赤坂3-11-7 ソシアル赤坂地下,35.6745725,139.7375404,CRAWFISH,ライブバー,Rock ･ Jazz ･ Folk ･ Blues ･ POPs ･ Others,03-3584-2496,19:00前後-24:00,,立 80人,4000円,https://www.tokyo-club.net/crawfish/
千代田区,神田佐久間河岸,-,東京都千代田区神田佐久間河岸55 ASビルB1F,35.69714,139.7764628,CLUB GOODMAN,ライブハウス,All Genre ･ POPs ･ Rock ･ Acoustic ･ Folk ･ Live ･ Others,03-5846-9453,"※開始は日程より異なる
貸切対応 10:00-22:00",無休,230人,,https://www.tokyo-club.net/club-goodman/
千代田区,神田佐久間町１丁目,-,東京都千代田区神田佐久間町1-13 チョムチョム1F,35.6979049,139.7742137,Cafe & Music Bar PLAYER,バー ･ カフェ,Allmix ･ R&B ･ HipHop,Closed,"11:00-24:30
金 ～05:00
土 ～02:00",,70席前後,1000円,https://www.tokyo-club.net/player/
新宿区,百人町１丁目,-,東京都新宿区百人町1-10-7 一番街ビルB1F,35.7003399,139.6999723,CLUB Voice,ライブハウス,Acoustic ･ A-POP ･ Soul ･ Rock ･ Folk ･ etc.,03-5338-0938,10:00-23:30,不定,120名,,https://www.tokyo-club.net/club-voice/
新宿区,高田馬場３丁目,-,東京都新宿区高田馬場3-3-8 B1F,35.7136442,139.7016876,AREA,ライブハウス,Live ･ HardRock ･ Rock ･ POPs ･ HeavyMetal ･ etc.,Closed,公演により異なる,,400人,,https://www.tokyo-club.net/area-takadanobaba/
港区,麻布十番２丁目,-,東京都港区麻布十番2-8-7 M2K Holdingビル2F,35.6555301,139.7347368,-,バー,Techno ･ House ･ Minimal ･ Crossover ･ HipHop ･ etc.,Closed,"20:00～
月-木 ～02:00
金・土 ～04:00
最新の情報と異なる場合有、要事前確認",日 (事情により日曜営業した場合は、翌日が休み),30名未満,2500円～3500円前後,https://www.tokyo-club.net/cafe-del-arm/
千代田区,有楽町１丁目,大丸有,東京都千代田区有楽町1-2-14 紫ビルB1F,35.6724503,139.7599469,300BAR NEXT,バー,Techno ･ House ･ Soul ･ Old school ･ HipHop ･ Dance ･ Disco ･ Funk,03-3593-8300,"17:00～
月-木 -02:00 / 金･土･祝前 -04:00 / 日･祝 -23:00",無休,140人,1500円,https://www.tokyo-club.net/threehundred-bar-next/
渋谷区,道玄坂２丁目,-,東京都渋谷区道玄坂2-29-12 吉田ビルB1F,35.6595605,139.6978483,BPM MUSIC BAR,バー,Techno ･ House,Closed,19:00～,無休,約30人,2000円,https://www.tokyo-club.net/bpm-music-bar/
渋谷区,宇田川町１３丁目,-,東京都渋谷区宇田川町13-17 ライズビル2F / 4F,35.6615117,139.6987557,WWW X,ライブハウス,Live ･ POPs ･ Techno ･ Electro ･ Rock ･ Folk ･ etc.,03-5458-7688,※公演による,,約600人,,https://www.tokyo-club.net/shibuya-www-x/
渋谷区,東２丁目,-,東京都渋谷区東2-24-4 荒井ビル2F,35.6517013,139.7087487,Suree,バー,House ･ Techno ･ Jazz ･ Disco ･ Soul ･ HipHop ･ etc.,03-3400-1383,"平日･日･祝 20:00-02:00 / 金･土 20:00-05:00
ランチ 11:30-15:00",,40人,"3000円
チャージ500円 / ドリンク700円から",https://www.tokyo-club.net/suree/
中央区,日本橋大伝馬町１５丁目,-,東京都中央区日本橋大伝馬町15-2 B1F,35.6915878,139.7813633,CITAN,ラウンジ ･ バー,Funk ･ Soul ･ Disco ･ Jazz ･ Ska ･ Live ･ House･ etc.,03-6661-7559,"イベント営業 / 金･土
バー 18:00～ / DJタイム 20:00～ (※日により変動)
要事前確認",,ドリンク600円から,2017年3月,https://www.tokyo-club.net/citan/
