指標名,スタートアップ企業,,,,,,,,,,,,
出典,IINITIAL,,,,,,,,,,,,
年次,2024/02/06取得,,,,,,,,,,,,
URL,https://initial.inc/companies,,,,,,,,,,,,
備考,(2021年度：8785件、2022年度：-件、2023年度：11361件),,,,,,,,,,,,
,,,,,,,,,,,,,
区,町丁,エリア,住所,緯度,経度,会社名,代表者,従業員数,総調達額,URL,設立,タイプ,業種
千代田区,麹町,-,東京都千代田区麹町5‒7‒2 MFPR麹町ビル7F,35.6827397,139.7343163,株式会社インフキュリオン,丸山　弘毅,307,"6,377,688",https://infcurion.com/,2006/5/1,未公開企業,ビジネスサービス
千代田区,麹町１丁目,-,東京都千代田区麹町1-4,35.684241,139.743807,マガシーク株式会社,井上　直也,52,,http://www.magaseek.co.jp/,2003/4/1,IPO / Exit企業,消費者向けサービス・販売
千代田区,麹町１丁目,-,東京都千代田区麹町1-6-2,35.6844594,139.7424028,株式会社IBJ,石坂　茂、　中本　哲宏,143,"490,000",http://www.ibjapan.jp/,2006/2/23,IPO / Exit企業,消費者向けサービス・販売
千代田区,麹町１丁目,-,東京都千代田区麹町1-6-2,35.6844594,139.7424028,株式会社LIFULL Social Funding,佐藤　大吾,5,"384,330",https://lifull-socialfunding.co.jp/,2012/10/1,未公開企業,消費者向けサービス・販売
千代田区,麹町１丁目,-,東京都千代田区麹町1-4-4,35.684422,139.7434082,健美家株式会社,倉内　敬一、　萩原　知章,,"10,000",https://www.kenbiya.co.jp/,2004/4/1,未公開企業,金融・保険・不動産 ICT
千代田区,麹町１丁目,-,東京都千代田区麹町1-4-4,35.684422,139.7434082,株式会社reporu,山本　昌平,,"6,500",https://reporu.team/,2018/9/21,未公開企業,ビジネスサービス
千代田区,麹町１丁目,-,東京都千代田区麹町1-7 FMセンタービル,35.6833668,139.7430066,株式会社アマネク・テレマティクスデザイン,今井　武,,"828,200",http://amanek.co.jp/,2014/12/14,未公開企業,通信・ネットワーキング
千代田区,麹町１丁目,-,東京都千代田区麹町1-7 相互半蔵門ビルディング,35.6834927,139.7429691,サーチファーム・ジャパン株式会社,武元　康明,51,"45,896",http://www.search-firm.co.jp/,2003/10/1,未公開企業,ビジネスサービス
千代田区,麹町１丁目,-,東京都千代田区麹町1-4-4 LIFULL HUB,35.6843892,139.7433503,株式会社souco,中原　久根人,12,"1,129,726",https://corporate.souco.space/,2016/7/27,未公開企業,ビジネスサービス
千代田区,麹町１丁目,-,東京都千代田区麹町1-4-4 2F,35.684422,139.7434082,株式会社dreamstock,松永　マルセロハルオ,7,"493,179",https://dreamstock.co.jp/,2017/7/3,未公開企業,消費者向けサービス・販売
千代田区,麹町１丁目,-,東京都千代田区麹町1-4-4 2F,35.684422,139.7434082,株式会社LX DESIGN,金谷　智,6,"120,622",https://www.lxdesign.me/,2018/7/24,未公開企業,コンピューター - ITサービス
千代田区,麹町１丁目,-,東京都千代田区麹町1-7 相互半蔵門ビル9F,35.6834927,139.7429691,ジーニアス株式会社,三上　俊輔,30,"10,000",http://www.genius-japan.com/,2011/5/1,未公開企業,ビジネスサービス
千代田区,麹町１丁目,-,東京都千代田区麹町1-12-12 HOMAT hanzomon 4F,35.6847831,139.7434367,PE&HR株式会社,山本　亮二郎,1,"78,250",http://www.pehr.jp/,2003/5/20,未公開企業,ビジネスサービス
千代田区,麹町１丁目,-,東京都千代田区麹町1-4-4 ZENITAKA ANNEX 7F,35.684422,139.7434082,株式会社M&Aクラウド,及川　厚博、　前川　拓也,92,"1,243,325",https://corp.macloud.jp/,2015/12/7,未公開企業,コンピューター - ITサービス
千代田区,麹町１丁目,-,東京都千代田区麹町1-4-4 2F LIFULL HUB,35.6843892,139.7433503,トッピ株式会社,門垣　伸哉,,"1,000",https://www.recrac.me/,2017/11/1,未公開企業,コンピューター - ITサービス
千代田区,麹町１丁目,-,東京都千代田区麹町1丁目7番地 相互半蔵門ビル11階,35.6834927,139.7429691,都市綜研インベストバンク株式会社,栁瀨　公孝,33,"441,950",http://www.invest-bank.co.jp/,1998/8/1,未公開企業,金融・保険・不動産
千代田区,麹町１丁目,-,東京都千代田区麹町1丁目7-2 相互半蔵門ビルディング9階,35.6834927,139.7429691,株式会社教育デジタルソリューションズ,本多　輝行,,"77,000",https://www.edu-ds.co.jp/,2013/9/1,未公開企業,コンピューター - ITサービス
千代田区,麹町１丁目,-,東京都千代田区麹町1-4-4 ZENITAKA ANNEX 2F LIFULL HUB内,35.6843892,139.7433503,株式会社techtec,田上　智裕,0,"17,994",https://techtec.co.jp/,2018/1/31,未公開企業,ビジネスサービス
千代田区,麹町２丁目,-,東京都千代田区麹町2-10-3,35.6850558,139.7404742,株式会社Mi6,川元　浩嗣,1,,http://www.mi6.co.jp,2015/5/18,未公開企業,コンピューター - ソフトウェア
千代田区,麹町２丁目,-,東京都千代田区麹町2-5-1,35.6836847,139.7408045,株式会社ワークスアプリケーションズ,牧野　正幸,"5,631","3,626,506",http://www.worksap.co.jp/,1996/7/24,未公開企業,コンピューター - ソフトウェア
千代田区,麹町２丁目,-,東京都千代田区麹町2-2-4,35.6845112,139.7409392,株式会社アドバンスト・イミュノセラピー,三輪　玄二郎,,"5,000",,2016/2/3,未公開企業,バイオテクノロジー
千代田区,麹町２丁目,-,東京都千代田区麹町2丁目10-3,35.6850558,139.7404742,IP SHOWCASE株式会社,納　公明、　伊勢　幸恵,,"10,000",https://www.ipshc.com/,2017/1/1,未公開企業,コンピューター - ITサービス
千代田区,麹町２丁目,-,東京都千代田区麹町二丁目２番地,35.6846636,139.740614,ビジネスコーチ株式会社,細川　馨,40,,https://www.businesscoach.co.jp/,2005/4/6,IPO / Exit企業,ビジネスサービス
千代田区,麹町２丁目,-,東京都千代田区麹町2丁目10-3,35.6850558,139.7404742,Binance Japan株式会社,千野　剛司,,"2,602,683",https://www.binance.com/ja,2017/5/16,未公開企業,金融・保険・不動産
千代田区,麹町２丁目,-,東京都千代田区麹町2丁目12-1 306,35.6850302,139.7414015,株式会社miup,森田　知宏,2,"132,510",https://miup.jp/,2015/9/30,未公開企業,医療・ヘルスケア ICT
千代田区,麹町２丁目,-,東京都千代田区麹町2-5-1 半蔵門PREX South,35.6836602,139.7407455,株式会社フライウィール,横山　直人、　足立　洋祐,75,"3,713,450",https://www.flywheel.jp/,2018/2/9,未公開企業,コンピューター - ITサービス
千代田区,麹町２丁目,-,東京都千代田区麹町2-2-4 麹町YTビル,35.6845112,139.7409392,株式会社CELL,原　知行,152,"752,500",http://www.cell-net.jp/,2001/5/1,未公開企業,消費者向けサービス・販売
千代田区,麹町２丁目,-,東京都千代田区麹町2-2-4 麹町YTビル,35.6845112,139.7409392,株式会社CELL,原　知行,152,"752,500",http://www.cell-net.jp/,2001/5/1,未公開企業,消費者向けサービス・販売
千代田区,麹町２丁目,-,東京都千代田区麹町2-14-2 麹町NKビル,35.6854891,139.7409732,ライフネット生命保険株式会社,出口　治明、　岩瀬　大輔,65,"13,200,000",http://www.lifenet-seimei.co.jp/,2006/10/23,IPO / Exit企業,金融・保険・不動産
千代田区,麹町２丁目,-,東京都千代田区麹町2-12-1 VORT半蔵門8階,35.6850032,139.7413754,株式会社バンカーズ・オートリース,佐橋　数哉,,"1,000",,2022/5/16,未公開企業,金融・保険・不動産
千代田区,麹町２丁目,-,東京都千代田区麹町2-10-3 リ・ノウ麹町,35.6850558,139.7404742,ファインアーク株式会社,太田　謙,7,"528,755",http://www.finearch.com/,2000/2/1,未公開企業,半導体/その他電子部品・製品
千代田区,麹町２丁目,-,東京都千代田区麹町2-2-22 ACN半蔵門ビル13階,35.6844269,139.7412363,株式会社Special Medico,中曽根　暁子,3,"6,000",http://www.spmedico.com/,2012/12/25,未公開企業,医療・ヘルスケア ICT
千代田区,麹町２丁目,-,東京都千代田区麹町2-10-3 エキスパートオフィス麹町308,35.6850703,139.7404426,NOT A HOTEL2nd株式会社,八田　浩、　渡辺　徹志,0,"157,000",https://notahotel-2nd.com/,2019/8/27,未公開企業,コンピューター - ITサービス
千代田区,麹町２丁目,-,東京都千代田区麹町2-2-4 麹町セントラルビル4階,35.6845239,139.740897,株式会社ECスタジオ,嶋田　怜輔,41,"168,000",https://ec-studio.jp/,2014/3/10,未公開企業,消費者向けサービス・販売
千代田区,麹町２丁目,-,東京都千代田区麹町2-2-22 ACN半蔵門ビル 8階,35.6844269,139.7412363,株式会社ランウェイ,片田　武利,19,"941,703",https://lanway.jp/,2011/3/8,未公開企業,コンピューター - ITサービス
千代田区,麹町２丁目,-,東京都千代田区麹町2-5-1 半蔵門PREX South 3F,35.6836602,139.7407455,株式会社バカン,河野　剛進,73,"2,414,069",https://corp.vacan.com/,2016/6/8,未公開企業,消費者向けサービス・販売
千代田区,麹町２丁目,-,東京都千代田区麹町2-4-11 麹町スクエアプラザ2F,35.6843197,139.7396359,株式会社アクセア,吉田　忠司,480,"240,594",https://corp.accea.co.jp/,2002/11/1,未公開企業,ビジネスサービス
千代田区,麹町２丁目,-,東京都千代田区麹町2-4 麹町鶴屋八幡ビル8F,35.6845066,139.7397757,株式会社ネットマイル,山本　雅,70,"396,000",http://biz.netmile.co.jp/,2000/11/7,未公開企業,ビジネスサービス
千代田区,麹町２丁目,-,東京都千代田区麹町2-10-3 エキスパートオフィス麹町210号,35.6850703,139.7404426,株式会社ユーショップデジタルリンク,島田　昌彦,2,"627,000",http://www.u-shop.co.jp/,2005/10/1,未公開企業,コンピューター - ソフトウェア
千代田区,麹町２丁目,-,東京都千代田区麹町2-4 麹町鶴屋八幡ビル8階,35.6845066,139.7397757,株式会社ビットマイル,グェン・ヴェトハ,60,"180,780",http://bitmile.io/,2011/11/1,未公開企業,ビジネスサービス
千代田区,麹町２丁目,-,東京都千代田区麹町2-4-10 三誠堂ビル 8F,35.6843532,139.7397957,株式会社テミスゲート,井上　巨志,10,"10,000",https://themisgate.co.jp/,2013/9/2,未公開企業,ビジネスサービス
千代田区,麹町２丁目,-,東京都千代田区麹町2-4 麴町鶴屋八幡ビル9F,35.6845066,139.7397757,RichTime株式会社,今野　陽介,,"9,000",https://richtime.co.jp/,2020/9/16,未公開企業,消費者向けサービス・販売
千代田区,麹町２丁目,-,東京都千代田区麹町2-3-3 FDC麹町ビル3Ｆ,35.6839342,139.7404942,株式会社アイシーエム,細川　正博,,"368,200",https://www.i-c-m.com/,1999/7/9,未公開企業,医療・ヘルスケア ICT
千代田区,麹町２丁目,-,東京都千代田区麹町2-4 麹町鶴屋八幡ビル8Ｆ,35.6845066,139.7397757,株式会社INMホールディングス,畑野　仁一、　坂井　光,,"420,000",http://inm-holdings.com/,2015/9/1,未公開企業,ビジネスサービス
千代田区,麹町２丁目,-,東京都千代田区麹町2-4 麹町鶴屋八幡ビル8階,35.6845066,139.7397757,株式会社ネットマイル,坂井　光,,,http://biz.netmile.co.jp/,2010/2/1,未公開企業,ビジネスサービス
千代田区,麹町２丁目,-,東京都千代田区麹町2-10-10 パレスサイドステージ・ホームズ麹町101,35.6851916,139.7406339,クリアウォーター・コーポレーション株式会社,吉田　将人,,"240,600",http://www.yoshidakamagasako.com/,2004/4/23,未公開企業,コンピューター - ソフトウェア
千代田区,麹町２丁目,-,東京都千代田区麹町2-10-10 パレスサイドステージ・ホームズ麹町101,35.6851916,139.7406339,クリアウォーター・コーポレーション株式会社,吉田　将人,,"240,600",http://www.yoshidakamagasako.com/,2004/4/23,未公開企業,コンピューター - ソフトウェア
千代田区,麹町２丁目,-,東京都千代田区麹町2-6-5 麹町E・C・Kビル 5F,35.6847194,139.739636,株式会社RPA NEXT,小林　隆洋,32,"141,400",https://www.rpanext.co.jp,2017/10/13,未公開企業,コンピューター - ITサービス
千代田区,麹町２丁目,-,東京都千代田区麹町2-12 CTS麹町ビル6F,35.6850302,139.7414015,株式会社カフェグローブ・ドット・コム,河野　貴久子,27,559780,,36489,未公開企業,消費者向けサービス・販売
千代田区,麹町２丁目,-,東京都千代田区麹町2-2-22 ACN半蔵門ビル13階,35.6844269,139.7412363,株式会社Special Medico,中曽根　暁子,3,6000,http://www.spmedico.com/,41268,未公開企業,医療・ヘルスケア ICT
千代田区,麹町２丁目,-,東京都千代田区麹町2-10-3 エキスパートオフィス麹町308,35.6850703,139.7404426,NOT A HOTEL2nd株式会社,八田　浩、　渡辺　徹志,0,157000,https://notahotel-2nd.com/,43704,未公開企業,コンピューター - ITサービス
千代田区,麹町２丁目,-,東京都千代田区麹町2-12 CTS麹町ビル6F,35.6850302,139.7414015,株式会社カフェグローブ・ドット・コム,河野　貴久子,27,559780,,36489,未公開企業,消費者向けサービス・販売
千代田区,麹町２丁目,-,東京都千代田区麹町2-2-22 ACN半蔵門ビル13階,35.6844269,139.7412363,株式会社Special Medico,中曽根　暁子,3,6000,http://www.spmedico.com/,41268,未公開企業,医療・ヘルスケア ICT
千代田区,麹町３丁目,-,東京都千代田区麹町3-2,35.6840781,139.7376801,rakumo株式会社,御手洗　大祐,47,"345,125",https://rakumo.com/,2004/12/7,IPO / Exit企業,コンピューター - ITサービス
千代田区,麹町３丁目,-,東京都千代田区麹町3-1,35.6838688,139.7392843,グルヤク株式会社,川和　大造,14,"3,000",http://guruyaku.co.jp/,2009/8/5,未公開企業,消費者向けサービス・販売
千代田区,麹町３丁目,-,東京都千代田区麹町3-5-2,35.683405,139.7388177,M&Aキャピタルパートナーズ株式会社,中村　悟,21,,http://www.ma-cp.com/,2005/10/12,IPO / Exit企業,ビジネスサービス
千代田区,麹町３丁目,-,東京都千代田区麹町3-3-4,35.6837659,139.7389563,株式会社ネクストジェン,大西　新二,54,,http://www.nextgen.co.jp/,2001/11/16,IPO / Exit企業,コンピューター - ITサービス
千代田区,麹町３丁目,-,東京都千代田区麹町3-2-4,35.6843838,139.739157,株式会社スリー･ディー･マトリックス,永野　恵嗣、　高村　健太郎,20,,http://www.3d-matrix.co.jp/,2004/5/19,IPO / Exit企業,バイオテクノロジー
千代田区,麹町３丁目,-,東京都千代田区麹町3-3-4,35.6837659,139.7389563,株式会社ディー・エル・イー,椎木　隆太,56,"440,000",http://www.dle.jp/,2001/12/27,IPO / Exit企業,コンピューター - ソフトウェア
千代田区,麹町３丁目,-,東京都千代田区麹町3-3-4,35.6837659,139.7389563,株式会社アマダナ総合研究所,熊本　浩志,,"30,000",http://amadana-ci.com/,2018/3/9,未公開企業,ビジネスサービス
千代田区,麹町３丁目,-,東京都千代田区麹町3-3-8,35.6836736,139.7383971,ジャパンM&Aソリューション株式会社,三橋　透,23,,https://jpmas.jp/,2019/11/1,IPO / Exit企業,ビジネスサービス
千代田区,麹町３丁目,-,東京都千代田区麹町3-7-4,35.6833014,139.7394599,株式会社VPP Japan,秋田　智一,,"3,470,682",https://www.vppjapan.co.jp/,2017/6/13,未公開企業,産業・エネルギー ICT
千代田区,麹町３丁目,-,東京都千代田区麹町三丁目3-4,35.6837659,139.7389563,株式会社Yottavias,髙岡　悦幸,,,https://yottavias.co.jp/,2013/10/1,IPO / Exit企業,通信・ネットワーキング
千代田区,麹町３丁目,-,東京都千代田区麹町3-5 4F,35.6831204,139.7384884,株式会社Clio,吉田　正順,23,"840,000",http://www.clio-inc.com/,2009/12/1,未公開企業,バイオテクノロジー
千代田区,麹町３丁目,-,東京都千代田区麹町3-5-19 にしかわビル4F,35.6832462,139.739137,株式会社エム・ディー・マネジメント,小谷　洋三,32,"86,600",http://www.mdmg.co.jp,2006/6/20,未公開企業,医療・ヘルスケア ICT
千代田区,麹町３丁目,-,東京都千代田区麹町3-5 一ノ瀬ビル1階,35.6831639,139.7387978,日本デンタルサポート株式会社,高畠　一郎,,,http://www.celelign.com/dental/,2003/4/1,未公開企業,医療・ヘルスケア
千代田区,麹町３丁目,-,東京都千代田区麹町3-5-2 ビュレックス麹町,35.683387,139.738819,フロンティアリンク株式会社,佐藤　啓,71,"142,000",https://frontier-link.jp/,2006/10/5,未公開企業,ビジネスサービス
千代田区,麹町３丁目,-,東京都千代田区麹町3-10-1 FJG本社ビル,35.6857901,139.738922,株式会社ファクトリージャパングループ,子安　裕樹,"1,013","163,000",http://www.factoryjapan.jp/,2001/8/31,未公開企業,消費者向けサービス・販売
千代田区,麹町３丁目,-,東京都千代田区麹町3-3-4 KDX麹町ビル,35.6837559,139.7389774,クオリティソフト株式会社,浦　聖治,40,"50,000",http://www.quality.co.jp/,2009/1/30,未公開企業,消費者向けサービス・販売
千代田区,麹町３丁目,-,東京都千代田区麹町3-3-4 KDX麹町ビル,35.6837559,139.7389774,クオリティソフト株式会社,浦　聖治,40,"50,000",http://www.quality.co.jp/,2009/1/30,未公開企業,消費者向けサービス・販売
千代田区,麹町３丁目,-,東京都千代田区麹町3-5-2 ビュレックス麹町309,35.683387,139.738819,株式会社Coreto,小松　丈紘,,"10,000",http://www.coreto.net/mall/,2010/11/1,未公開企業,消費者向けサービス・販売
千代田区,麹町３丁目,-,東京都千代田区麹町3-5-2 ビュレックス麹町309,35.683387,139.738819,株式会社Coreto,小松　丈紘,,"10,000",http://www.coreto.net/mall/,2010/11/1,未公開企業,消費者向けサービス・販売
千代田区,麹町３丁目,-,東京都千代田区麹町3-2-9 麹町PREX 9F,35.6842121,139.738402,株式会社Regrit Partners,山木　智史,,"100,000",https://regrit-p.com/,2017/8/7,未公開企業,ビジネスサービス
千代田区,麹町３丁目,-,東京都千代田区麹町3-2 麹町共同ビル3F,35.6843129,139.7385782,アイムファクトリー株式会社,久利　可奈恵,59,"15,000",http://www.aim-factory.com,2008/7/8,未公開企業,ビジネスサービス
千代田区,麹町３丁目,-,東京都千代田区麹町3-7-10浅野ビル本館5階,35.683515,139.7396794,株式会社PLUG,伊藤　康雄,,"5,000",http://plug-med.com/,2015/9/1,未公開企業,ビジネスサービス
千代田区,麹町３丁目,-,東京都千代田区麹町3-7-4 秩父屋ビル3階,35.6833014,139.7394599,株式会社アイ・グリッド・ラボ,秋田　智一,0,"69,000",https://www.igrid-lab.co.jp/,2020/7/1,未公開企業,環境関連 ICT
千代田区,麹町３丁目,-,東京都千代田区麹町3-2-9 麹町PREX 9F,35.6842121,139.738402,株式会社Regrit Partners,山木　智史,,"100,000",https://regrit-p.com/,2017/8/7,未公開企業,ビジネスサービス
千代田区,麹町３丁目,-,東京都千代田区麹町3-7-4 秩父屋ビル3階,35.6833014,139.7394599,株式会社アイ・グリッド・ソリューションズ,本多　聰介、　秋田　智一,104,"8,023,800",https://www.igrid.co.jp/,2004/2/9,未公開企業,環境関連
千代田区,麹町３丁目,-,東京都千代田区麹町3-2 ヒューリック麹町ビル6階,35.6842245,139.7381791,株式会社KEIアドバンス,矢島　敏男,145,"599,677",https://www.keiadvanced.jp/,2000/6/19,未公開企業,消費者向けサービス・販売
千代田区,麹町３丁目,-,東京都千代田区麹町3-3-4 KDX麹町ビル3F,35.6837559,139.7389774,アクセリア株式会社,牧野　顕道,41,"339,611",http://www.accelia.net/index.html,2000/12/1,未公開企業,通信・ネットワーキング
千代田区,麹町３丁目,-,東京都千代田区麹町3-7 半蔵門村山ビル東館6F,35.6835009,139.7399952,ソーラーウェイ株式会社,足利　恵吾,39,"301,300",http://www.solarway.co.jp/,2011/8/15,未公開企業,環境関連
千代田区,麹町３丁目,-,東京都千代田区麹町3-7-8 麹町山口ビル4階,35.6836207,139.740115,株式会社コノル,溝田　隆明,1,"38,650",https://conol.co.jp/,2010/5/10,未公開企業,コンピューター - ソフトウェア
千代田区,麹町３丁目,-,東京都千代田区麹町3-2-4 麹町HFビル4F,35.6843838,139.739157,DAIZエンジニアリング株式会社,落合　孝次,,"100,000",,2024/1/16,未公開企業,ビジネスサービス
千代田区,麹町３丁目,-,東京都千代田区麹町3-5-4 麹町インテリジェントビル3F,35.6833925,139.7385575,株式会社FIVES,山﨑　義英,7,"18,500",http://www.5vs.jp/,,未公開企業,金融・保険・不動産 ICT
千代田区,麹町３丁目,-,東京都千代田区麹町3-3-8 丸増麹町ビル8F,35.6836751,139.7384186,株式会社レコモット,東郷　剛,81,"255,190",https://recomot.co.jp/,2005/11/9,未公開企業,コンピューター - ITサービス
千代田区,麹町３丁目,-,東京都千代田区麹町3丁目5-20 VORT麹町plus 10F,35.6832067,139.7388865,EQIQ株式会社,ケイシー・ウォール,21,"10,000",https://www.attuned.ai/jp/home/,2010/3/1,未公開企業,コンピューター - ソフトウェア
千代田区,麹町３丁目,-,東京都千代田区麹町3-4-1 麹町3丁目ビル3F,35.6845084,139.7376801,株式会社ファンオブライフ,糸岡　樹慧、　岩崎　北斗,40,,https://www.funoflife.co.jp/,2015/6/1,未公開企業,コンピューター - ITサービス
千代田区,麹町３丁目,-,東京都千代田区麹町3丁目2-4 麹町HFビル 5階,35.6843838,139.739157,株式会社pafin,アズムデ・アミン、　斎藤　岳,28,"1,364,127",https://www.pafin.com/,2018/1/17,未公開企業,金融・保険・不動産 ICT
千代田区,麹町３丁目,-,東京都千代田区麹町3--6 地住友不動産麹町ビル3号館6階,35.6846358,139.7385029,株式会社PIGNUS,水戸　将平,53,"10,000",http://www.pignus.co.jp/,2017/1/5,未公開企業,コンピューター - ITサービス
千代田区,麹町３丁目,-,東京都千代田区麹町3-5-2 BUREX麹町9F,35.683387,139.738819,レッドカーペット・エンタテインメント株式会社,佐籐　了麻,,10000,http://redcarpet.jp/,38453,未公開企業,コンピューター - ソフトウェア
千代田区,麹町３丁目,-,東京都千代田区麹町3-2 麹町共同ビル3F,35.6843129,139.7385782,アイムファクトリー株式会社,久利　可奈恵,59,15000,http://www.aim-factory.com,39637,未公開企業,ビジネスサービス
千代田区,麹町３丁目,-,東京都千代田区麹町3-7-4 秩父屋ビル2階,35.6833014,139.7394599,株式会社リンクトブレイン,清水　弘一,163,44000,https://linkedbrain.jp/,40817,未公開企業,コンピューター - ITサービス
千代田区,麹町４丁目,-,東京都千代田区麹町4-8,35.684827,139.7372343,株式会社リサ・パートナーズ,井無田　敦,39,,http://www.risa-p.com/,1999/4/2,IPO / Exit企業,金融・保険・不動産
千代田区,麹町４丁目,-,東京都千代田区麹町4-8,35.684827,139.7372343,株式会社リサ・パートナーズ,井無田　敦,39,,http://www.risa-p.com/,1999/4/2,IPO / Exit企業,金融・保険・不動産
千代田区,麹町４丁目,-,東京都千代田区麹町4-2-6,35.6841932,139.7367876,株式会社ネットプロテクションズホールディングス,柴田　紳,7,"12,247,757",https://corp.netprotections.com/,2018/7/2,IPO / Exit企業,金融・保険・不動産 ICT
千代田区,麹町４丁目,-,東京都千代田区麹町4-8-1 1F,35.6844535,139.7371413,株式会社U-Factor,井島　英博,10,,https://u-factor.com/,2020/3/17,未公開企業,医療・ヘルスケア
千代田区,麹町４丁目,-,東京都千代田区麹町4-8 麹町クリスタルシティ,35.6844535,139.7371413,アクシスコンサルティング株式会社,山尾　幸弘,75,,https://axc-g.co.jp/,2002/4/18,IPO / Exit企業,ビジネスサービス
千代田区,麹町４丁目,-,102-0083　東京都千代田区麹町４丁目４番地,35.6842454,139.7356844,株式会社極楽湯ホールディングス,喜多尾　将秋,39,,http://www.gokurakuyu.ne.jp/,1980/4/10,IPO / Exit企業,消費者向けサービス・販売
千代田区,麹町４丁目,-,東京都千代田区麹町4-5 KSビル5F,35.683583,139.7365853,株式会社グルメぴあネットワーク,増田　康裕,,"100,000",http://g.pia.co.jp/,1999/10/15,未公開企業,消費者向けサービス・販売
千代田区,麹町４丁目,-,東京都千代田区麹町4-8-1 THE MOCK-UP,35.6844185,139.7365625,株式会社インサイトコア,島田　大介、　竹村　義輝,30,"748,286",https://insightcore.co.jp/,2003/9/18,未公開企業,コンピューター - ITサービス
千代田区,麹町４丁目,-,東京都千代田区麹町4-4-5 麹町シャインビル202,35.6843759,139.7352054,株式会社KNAIN,近藤　繁,,,http://www.knain.co.jp/,2012/8/29,未公開企業,ビジネスサービス
千代田区,麹町４丁目,-,東京都千代田区麹町4-4-5 麹町シャインビル202,35.6843759,139.7352054,株式会社KNAIN,近藤　繁,,,http://www.knain.co.jp/,2012/8/29,未公開企業,ビジネスサービス
千代田区,麹町４丁目,-,東京都千代田区麹町4-8-1 THE MOCK-UP 210,35.6844185,139.7365625,アジト株式会社,高井　康辰,13,"41,606",https://www.agito-inc.com/,2018/9/13,未公開企業,コンピューター - ITサービス
千代田区,麹町４丁目,-,東京都千代田区麹町4-5 20ＫＳビル8Ｆ,35.683294,139.7367533,ドクターシリーズ株式会社,朝倉　智弘,,"9,850",,2019/2/22,未公開企業,ビジネスサービス
千代田区,麹町４丁目,-,東京都千代田区麹町4-3-29 VORT紀尾井坂9階,35.6831099,139.7376801,株式会社MEGURU,上原　嗣則,,"922,408",https://meguru.net/,2019/10/1,未公開企業,コンピューター - ITサービス
千代田区,麹町４丁目,-,東京都千代田区麹町4丁目8-１ザモックアップ麹町312,35.6844185,139.7365625,株式会社PR Table,大堀　海、　大堀　航,67,"1,518,186",https://prtable.com/,2014/12/12,未公開企業,コンピューター - ITサービス
千代田区,麹町４丁目,-,東京都千代田区麹町4-4-7 アトム麹町タワー 9F,35.6842447,139.7353252,インヴェンティット株式会社,鈴木　敦仁,75,"963,500",https://www.yourinventit.com/,2007/6/12,未公開企業,コンピューター - ITサービス
千代田区,麹町４丁目,-,東京都千代田区麹町4-3-29 VORT紀尾井坂ビル1階,35.6831099,139.7376801,株式会社ドローンネット,村上　一幸,23,"636,194",https://drone-net.co.jp/,2017/3/1,未公開企業,コンピューター - ソフトウェア
千代田区,麹町４丁目,-,東京都千代田区麹町4丁目4-7 麹町デュープレックスビズ9階,35.6842447,139.7353252,株式会社エス・アイ・ディ・シー,里吉　昌博,,"329,980",http://www.sidc.net/japanese/,2001/8/31,未公開企業,コンピューター - ITサービス
千代田区,麹町４丁目,-,東京都千代田区麹町4-8-23 麹町高善ビル4階,35.6845658,139.736189,株式会社グランツ,千原　裕幸,3,"20,000",http://glanz.asia/,2006/6/6,未公開企業,医療・ヘルスケア ICT
千代田区,麹町４丁目,-,東京都千代田区麹町4丁目4-7 麹町デュープレックスビズ9階,35.6842447,139.7353252,株式会社エス・アイ・ディ・シー,里吉　昌博,,"329,980",http://www.sidc.net/japanese/,2001/8/31,未公開企業,コンピューター - ITサービス
千代田区,麹町４丁目,-,東京都千代田区麹町4-8-1 麹町クリスタルシティ東館11F,35.6844535,139.7371413,株式会社ウェルシィ,福田　章一,,"37,350",http://www.wellthy.co.jp/,1985/11/1,未公開企業,
千代田区,麹町４丁目,-,東京都千代田区麹町4-2-6 住友不動産麹町ファーストビル 5階,35.684158,139.737088,株式会社ネットプロテクションズ,柴田　紳,304,"8,357,988",https://corp.netprotections.com/,2015/11/30,未公開企業,金融・保険・不動産 ICT
千代田区,麹町４丁目,-,東京都千代田区麹町4丁目2-6 住友不動産麹町ファーストビル 5階,35.684158,139.737088,株式会社ネットプロテクションズ,柴田　紳,,"1,096,000",https://corp.netprotections.com/,2000/1/28,未公開企業,金融・保険・不動産 ICT
千代田区,麹町５丁目,-,東京都千代田区麹町5-4,35.6848322,139.733774,明豊ファシリティワークス株式会社,坂田　明,89,,http://www.meiho.co.jp/,1980/9/12,IPO / Exit企業,ビジネスサービス
千代田区,麹町５丁目,-,東京都千代田区麹町5-4,35.6848322,139.733774,明豊ファシリティワークス株式会社,坂田　明,89,,http://www.meiho.co.jp/,1980/9/12,IPO / Exit企業,ビジネスサービス
千代田区,麹町５丁目,-,東京都千代田区麹町5丁目3-23,35.6838262,139.7334224,株式会社woorth,中野　泰輔,,"21,180",https://woorth.io/,2021/10/13,未公開企業,金融・保険・不動産 ICT
千代田区,麹町５丁目,-,東京都千代田区麹町5-5-1-3F,35.6841757,139.733238,株式会社ととっぷ,神谷　和宏,6,,http://biyou-iryou.jp/,2011/7/1,未公開企業,医療・ヘルスケア ICT
